UserID,ChargerID,ChargerCompany,Location,ChargerType,StartDay,StartTime,EndDay,EndTime,StartDatetime,EndDatetime,Duration,Demand
0,1,1,hotel,0,2022-09-15,20:54:02,2022-09-15,23:59:13,2022-09-15 20:54,2022-09-15 23:59,185,20.36
0,1,1,hotel,0,2022-09-14,20:01:05,2022-09-14,21:31:04,2022-09-14 20:01,2022-09-14 21:31,90,10.19
0,1,1,hotel,0,2022-09-14,18:54:30,2022-09-14,19:54:29,2022-09-14 18:54,2022-09-14 19:54,60,6.78
0,1,1,hotel,0,2022-09-29,18:32:51,2022-09-30,0:16:42,2022-09-29 18:32,2022-09-30 0:16,344,37.65
0,1,1,hotel,0,2022-09-25,19:30:15,2022-09-26,0:30:14,2022-09-25 19:30,2022-09-26 0:30,300,33.81
0,1,1,hotel,0,2022-09-24,14:51:16,2022-09-24,16:01:15,2022-09-24 14:51,2022-09-24 16:01,70,8.17
0,1,1,hotel,0,2022-08-11,18:28:42,2022-08-11,19:28:41,2022-08-11 18:28,2022-08-11 19:28,60,6.38
0,1,1,hotel,0,2022-08-10,19:37:54,2022-08-11,3:51:56,2022-08-10 19:37,2022-08-11 3:51,494,55.17
0,1,1,hotel,0,2022-08-09,19:43:27,2022-08-09,20:43:26,2022-08-09 19:43,2022-08-09 20:43,60,6.68
0,1,1,hotel,0,2022-08-07,19:51:01,2022-08-07,21:43:17,2022-08-07 19:51,2022-08-07 21:43,112,12.57
0,1,1,hotel,0,2022-08-06,20:25:38,2022-08-07,1:25:37,2022-08-06 20:25,2022-08-07 1:25,300,33.16
0,1,1,hotel,0,2022-08-05,18:28:39,2022-08-05,21:48:38,2022-08-05 18:28,2022-08-05 21:48,200,22.29
0,1,1,hotel,0,2022-08-23,19:32:45,2022-08-24,3:45:47,2022-08-23 19:32,2022-08-24 3:45,493,55.83
0,1,1,hotel,0,2022-08-22,21:04:24,2022-08-23,1:04:23,2022-08-22 21:04,2022-08-23 1:04,240,24.72
0,1,1,hotel,0,2022-08-22,19:31:54,2022-08-22,20:59:50,2022-08-22 19:31,2022-08-22 20:59,88,9.2
0,1,1,hotel,0,2022-08-19,17:10:57,2022-08-19,19:10:57,2022-08-19 17:10,2022-08-19 19:10,4,12.42
0,1,1,hotel,0,2022-08-18,20:49:17,2022-08-19,1:36:34,2022-08-18 20:49,2022-08-19 1:36,287,31.85
0,1,1,hotel,0,2022-08-18,19:05:15,2022-08-18,20:05:14,2022-08-18 19:05,2022-08-18 20:05,60,5.95
0,1,1,hotel,0,2022-08-17,14:45:48,2022-08-17,18:24:45,2022-08-17 14:45,2022-08-17 18:24,219,24.53
0,1,1,hotel,0,2022-08-17,14:09:40,2022-08-17,14:39:39,2022-08-17 14:09,2022-08-17 14:39,30,3.36
0,1,1,hotel,0,2022-07-02,18:03:39,2022-07-02,19:43:38,2022-07-02 18:03,2022-07-02 19:43,100,10.98
0,1,1,hotel,0,2022-07-02,20:20:55,2022-07-02,23:00:41,2022-07-02 20:20,2022-07-02 23:00,160,16.95
0,1,1,hotel,0,2022-07-03,18:24:32,2022-07-03,21:24:31,2022-07-03 18:24,2022-07-03 21:24,180,19.35
0,1,1,hotel,0,2022-07-05,19:38:47,2022-07-05,22:53:50,2022-07-05 19:38,2022-07-05 22:53,195,21.73
0,1,1,hotel,0,2022-07-08,22:54:46,2022-07-09,1:08:14,2022-07-08 22:54,2022-07-09 1:08,133,13.85
0,1,1,hotel,0,2022-07-14,21:52:13,2022-07-14,23:22:12,2022-07-14 21:52,2022-07-14 23:22,90,9.93
0,1,1,hotel,0,2022-07-27,15:49:42,2022-07-27,16:49:41,2022-07-27 15:49,2022-07-27 16:49,60,6.95
0,1,1,hotel,0,2022-07-27,17:55:27,2022-07-27,19:55:26,2022-07-27 17:55,2022-07-27 19:55,120,13.09
0,1,1,hotel,0,2022-07-27,21:49:32,2022-07-28,4:32:37,2022-07-27 21:49,2022-07-28 4:32,403,45.83
0,1,1,hotel,0,2022-06-07,19:21:39,2022-06-07,19:51:38,2022-06-07 19:21,2022-06-07 19:51,30,3.52
0,1,1,hotel,0,2022-06-09,17:29:23,2022-06-09,20:29:22,2022-06-09 17:29,2022-06-09 20:29,180,20.76
0,1,1,hotel,0,2022-06-09,20:48:19,2022-06-09,22:48:18,2022-06-09 20:48,2022-06-09 22:48,120,13.92
0,1,1,hotel,0,2022-06-10,18:52:53,2022-06-10,18:52:53,2022-06-10 18:52,2022-06-10 18:52,0,0.54
0,1,1,hotel,0,2022-06-10,19:14:26,2022-06-10,19:14:26,2022-06-10 19:14,2022-06-10 19:14,0,0.55
0,1,1,hotel,0,2022-06-18,8:14:28,2022-06-18,9:11:16,2022-06-18 8:14,2022-06-18 9:11,57,6.28
0,1,1,hotel,0,2022-06-23,16:05:02,2022-06-23,17:03:08,2022-06-23 16:05,2022-06-23 17:03,58,6.68
0,1,1,hotel,0,2022-05-08,10:06:39,2022-05-08,11:06:43,2022-05-08 10:06,2022-05-08 11:06,60,6.91
0,1,1,hotel,0,2022-05-09,19:46:26,2022-05-09,22:16:25,2022-05-09 19:46,2022-05-09 22:16,150,17.04
0,1,1,hotel,0,2022-05-12,19:20:10,2022-05-12,20:50:00,2022-05-12 19:20,2022-05-12 20:50,90,10.2
0,1,1,hotel,0,2022-05-12,20:54:53,2022-05-12,23:45:02,2022-05-12 20:54,2022-05-12 23:45,170,18.57
0,1,1,hotel,0,2022-05-14,21:45:44,2022-05-14,22:27:39,2022-05-14 21:45,2022-05-14 22:27,42,4.75
0,1,1,hotel,0,2022-05-15,9:54:46,2022-05-15,10:13:57,2022-05-15 9:54,2022-05-15 10:13,19,2.08
0,1,1,hotel,0,2022-05-15,20:08:35,2022-05-15,21:38:34,2022-05-15 20:08,2022-05-15 21:38,90,10.14
0,1,1,hotel,0,2022-05-16,22:01:05,2022-05-17,1:21:02,2022-05-16 22:01,2022-05-17 1:21,200,22.13
0,1,1,hotel,0,2022-05-23,8:50:27,2022-05-23,9:20:26,2022-05-23 8:50,2022-05-23 9:20,30,3.8
0,1,1,hotel,0,2022-05-27,20:35:11,2022-05-27,22:32:12,2022-05-27 20:35,2022-05-27 22:32,117,12.9
0,1,1,hotel,0,2022-04-08,22:18:07,2022-04-09,3:18:06,2022-04-08 22:18,2022-04-09 3:18,300,34.1
0,1,1,hotel,0,2022-04-14,20:41:59,2022-04-14,20:50:52,2022-04-14 20:41,2022-04-14 20:50,9,0.96
0,1,1,hotel,0,2022-04-16,19:56:51,2022-04-17,1:56:50,2022-04-16 19:56,2022-04-17 1:56,360,41.18
0,1,1,hotel,0,2022-04-27,20:48:04,2022-04-28,5:48:03,2022-04-27 20:48,2022-04-28 5:48,540,61.67
0,1,1,hotel,0,2022-03-01,12:45:35,2022-03-01,13:34:38,2022-03-01 12:45,2022-03-01 13:34,0,5.58
0,1,1,hotel,0,2022-03-01,17:46:15,2022-03-01,18:06:14,2022-03-01 17:46,2022-03-01 18:06,20,2.22
0,1,1,hotel,0,2022-03-02,9:11:13,2022-03-02,11:01:12,2022-03-02 9:11,2022-03-02 11:01,110,12.84
0,1,1,hotel,0,2022-03-03,19:00:34,2022-03-03,19:23:13,2022-03-03 19:00,2022-03-03 19:23,23,2.59
0,1,1,hotel,0,2022-03-10,19:44:47,2022-03-11,0:44:46,2022-03-10 19:44,2022-03-11 0:44,300,33.68
0,1,1,hotel,0,2022-03-12,17:59:58,2022-03-12,18:01:42,2022-03-12 17:59,2022-03-12 18:01,2,0.19
0,1,1,hotel,0,2022-03-12,18:20:41,2022-03-12,22:20:40,2022-03-12 18:20,2022-03-12 22:20,240,26.7
0,1,1,hotel,0,2022-03-13,9:49:06,2022-03-13,10:41:42,2022-03-13 9:49,2022-03-13 10:41,0,4.66
0,1,1,hotel,0,2022-03-18,16:20:02,2022-03-18,17:20:01,2022-03-18 16:20,2022-03-18 17:20,60,6.32
0,1,1,hotel,0,2022-03-30,20:22:45,2022-03-30,23:22:44,2022-03-30 20:22,2022-03-30 23:22,180,20.47
0,1,1,hotel,0,2022-03-31,20:09:36,2022-03-31,22:09:35,2022-03-31 20:09,2022-03-31 22:09,120,13.3
0,1,1,hotel,0,2022-03-31,22:30:49,2022-03-31,22:34:46,2022-03-31 22:30,2022-03-31 22:34,4,0.34
0,1,1,hotel,0,2022-02-01,20:46:22,2022-02-01,20:49:07,2022-02-01 20:46,2022-02-01 20:49,3,0.28
0,1,1,hotel,0,2022-02-01,20:53:34,2022-02-01,21:01:57,2022-02-01 20:53,2022-02-01 21:01,8,1.27
0,1,1,hotel,0,2022-02-04,11:26:39,2022-02-04,12:56:38,2022-02-04 11:26,2022-02-04 12:56,90,10.39
0,1,1,hotel,0,2022-02-04,20:04:56,2022-02-04,23:06:28,2022-02-04 20:04,2022-02-04 23:06,182,18.57
0,1,1,hotel,0,2022-02-11,8:45:14,2022-02-11,10:00:14,2022-02-11 8:45,2022-02-11 10:00,0,8.34
0,1,1,hotel,0,2022-02-14,9:59:47,2022-02-14,10:59:46,2022-02-14 9:59,2022-02-14 10:59,60,6.88
0,1,1,hotel,0,2022-02-20,12:02:49,2022-02-20,13:02:48,2022-02-20 12:02,2022-02-20 13:02,60,7.05
0,1,1,hotel,0,2022-02-20,18:26:42,2022-02-20,21:37:51,2022-02-20 18:26,2022-02-20 21:37,191,20.67
0,1,1,hotel,0,2022-02-27,16:32:04,2022-02-27,16:41:21,2022-02-27 16:32,2022-02-27 16:41,9,2.09
0,1,1,hotel,0,2022-01-27,17:46:00,2022-01-27,18:35:59,2022-01-27 17:46,2022-01-27 18:35,50,5.7
0,1,1,hotel,0,2021-12-07,11:00:58,2021-12-07,11:10:57,2021-12-07 11:00,2021-12-07 11:10,10,1.16
0,1,1,hotel,0,2021-12-17,17:50:01,2021-12-17,18:50:00,2021-12-17 17:50,2021-12-17 18:50,60,6.94
0,1,1,hotel,0,2021-12-20,19:15:07,2021-12-20,20:09:53,2021-12-20 19:15,2021-12-20 20:09,55,6.21
0,1,1,hotel,0,2021-12-20,20:14:32,2021-12-21,1:46:56,2021-12-20 20:14,2021-12-21 1:46,332,35.02
0,1,1,hotel,0,2021-12-24,17:39:02,2021-12-24,18:09:01,2021-12-24 17:39,2021-12-24 18:09,30,3.49
0,1,1,hotel,0,2021-12-24,18:46:19,2021-12-24,18:47:14,2021-12-24 18:46,2021-12-24 18:47,1,0.09
0,1,1,hotel,0,2022-09-08,18:40:52,2022-09-08,23:17:26,2022-09-08 18:40,2022-09-08 23:17,277,29.37
0,1,1,hotel,0,2022-09-29,9:15:04,2022-09-29,11:34:11,2022-09-29 9:15,2022-09-29 11:34,139,15.72
0,1,1,hotel,0,2022-09-24,17:02:49,2022-09-24,18:11:58,2022-09-24 17:02,2022-09-24 18:11,69,7.77
0,1,1,hotel,0,2022-09-22,20:03:47,2022-09-23,1:05:31,2022-09-22 20:03,2022-09-23 1:05,302,32.87
0,1,1,hotel,0,2022-08-14,18:06:01,2022-08-14,18:50:27,2022-08-14 18:06,2022-08-14 18:50,44,5.08
0,1,1,hotel,0,2022-08-04,12:47:50,2022-08-04,14:26:01,2022-08-04 12:47,2022-08-04 14:26,98,4.11
0,1,1,hotel,0,2022-08-03,8:06:03,2022-08-03,9:00:51,2022-08-03 8:06,2022-08-03 9:00,55,5.83
0,1,1,hotel,0,2022-08-02,19:17:03,2022-08-03,0:34:33,2022-08-02 19:17,2022-08-03 0:34,318,35.78
0,1,1,hotel,0,2022-08-24,18:14:38,2022-08-25,1:11:24,2022-08-24 18:14,2022-08-25 1:11,417,44.26
0,1,1,hotel,0,2022-08-22,16:32:54,2022-08-22,16:56:00,2022-08-22 16:32,2022-08-22 16:56,23,2.59
0,1,1,hotel,0,2022-08-21,19:27:27,2022-08-21,21:03:33,2022-08-21 19:27,2022-08-21 21:03,96,10.45
